Response ID,What year were you born?,Gender,job industry, job industry (Detailed),occupation,Occupation (Detailed),Number of employers,Manager,Household,Job tenure,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,Time prefered to work remotely,"In last 3 months, time spent on remote working","In last 3 months,  My organisation encouraged people to work remotely","In last 3 months,  My organisation was well prepared for me to work remotely","In last 3 months, It was common for people in my organisation to work remotely","In last 3 months, It was easy to get permission to work remotely","in last 3 months, collaboration with colleagues when working remotely","In last 3 months, I would recommend remote working to others","In the last 3 months, preferred time to work remotely ",Time prefer to work remotely after COVID is cured,Encourage more remote working after COVID is cured,Make changes to support remote working after COVID is cured,Prefer to work remotely after COVID is cured,Productivity,Time for preparing  and commuting on employer's workplace,Working hours on employer's workplace,Time for personal and family while on employer's workplace,Time for Caring and domestic responsibilities while on employer's workplace,Time for preparing for work and commuting while on remote work,how many hours do you work remotely,Time for personal and family while on remote work,Time for Caring and domestic responsibilities while on remote work,The most significant barrier to doing your work remotely,Compare remote working to working at your employer痴 workplace
1360,1971,Male,Retail Trade,Food Retailing,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% more productive when working remotely,0,10,3,1,0,10,3,1,Poor management,Preparing for work and commuting
1361,1956,Male,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Regional,60%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,90%,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,90%,90%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% more productive when working remotely,1.85,4.5,0.5,2.65,0.3,4.5,1.5,2.2,Poor management,Preparing for work and commuting
1362,1964,Female,Wholesale Trade,Machinery and Equipment Wholesaling,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Couple with dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1,8,3,1,0,8,2,2,Feeling left out and/or isolated,My work-life balance
1363,1976,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,60%,Somewhat agree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,1.5,8,2,1.5,0.5,7,1,1,Feeling left out and/or isolated,Preparing for work and commuting
1364,1988,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Clerical and administrative ,Clerical and Office Support ,Between 1 and 4,No,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,70%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,80%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,0.3,7.5,3.5,1,0,7.5,3,2,Difficulty collaborating remotely,Preparing for work and commuting
1365,1987,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,30%,40%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,30%,50% - About half of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,1,1,1,1,2,1,2,1,Connectivity (internet connection),My work-life balance
1366,1969,Female,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Carers and Aides,I am the only employee,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 50% more productive when working remotely (or more),1,5,11,2,1,5,5,5,Connectivity (internet connection),My work-life balance
1367,1987,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,30%,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,30%,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I知 20% more productive when working remotely,1,0.5,1,0.5,1,0.5,1,0.5,Difficulty collaborating remotely,My work-life balance
1368,1996,Female,Other Services,Personal and Other Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,One  parent family with dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,80%,100% - I spent all of my time remote working,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly disagree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,3.5,8,3,1.5,0.5,9.5,5,2.5,Connectivity (internet connection),Preparing for work and commuting
1369,1957,Female,Other Services,Personal and Other Services,Clerical and administrative ,Inquiry Clerks and Receptionists,More than 200,No,Single person,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,Less than 10% of my time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),1.5,8,4,2,0.75,8,6,2,Feeling left out and/or isolated,Preparing for work and commuting
1370,1978,Male,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1,8,3,3,1,8,5,5,Caring responsibilities,The number of hours  I work
1371,1981,Female,Other Services,Personal and Other Services,Professionals,Arts and Media Professionals,Between 5 and 19,Yes,One  parent family with dependent children,Between 6 and 12 months,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,60%,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,100% - All of my time,80%,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,2,9,1,1,0,9,3,3,Connectivity (internet connection),Preparing for work and commuting
1372,1959,Male,Accommodation and Food Services,Food and Beverage Services,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,NA,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,20%,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,50% - About half of my time,NA,Somewhat agree,Neither agree nor disagree,Somewhat disagree,My productivity is about same when I work remotely,2.5,6,5,3,0.25,7,6,4,Difficulty collaborating remotely,Preparing for work and commuting
1373,1964,Male,Manufacturing,Printing (including the Reproduction of Recorded Media),Managers,Specialist Managers,Between 5 and 19,NA,Couple with dependent children,More than 5 years,Metro,80%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,80%,90%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,90%,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% more productive when working remotely,2,4,2,1,1,7,1,2,Connectivity (internet connection),The number of hours  I work
1374,1960,Female,Wholesale Trade,Other Goods Wholesaling,Professionals,ICT Professionals,More than 200,NA,Single person,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,30%,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,NA,Strongly disagree,Strongly disagree,Strongly disagree,I知 50% more productive when working remotely (or more),2,5,1,2,0,5,2,2,Poor management,Preparing for work and commuting
1375,1963,Female,Health Care and Social Assistance,Hospitals,Managers,Specialist Managers,More than 200,NA,Multiple family household,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,100% - All of my time,NA,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,2,9,4,2,1,6,5,4,"IT equipment (computer, printer, etc.)",My work-life balance
1376,1972,Female,Retail Trade,Other Store-Based Retailing,Managers,Specialist Managers,More than 200,NA,One  parent family with dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,30%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,30%,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,1,8,4,4,0,4,12,4,Connectivity (internet connection),Preparing for work and commuting
1377,1958,Male,Manufacturing,Machinery and Equipment Manufacturing,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,NA,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,NA,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),1,12,9,2,1,12,9,2,Caring responsibilities,My work-life balance
1378,1985,Male,Manufacturing,Transport Equipment Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,NA,Couple with dependent children,More than 5 years,Metro,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,20%,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,30%,NA,Neither agree nor disagree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,1,10,8,5,0.5,16,5.5,2,Connectivity (internet connection),My on-the-job learning opportunities
1379,1964,Female,Financial and Insurance Services,Finance,Managers,Specialist Managers,Between 20 and 199,NA,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,NA,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I知 50% more productive when working remotely (or more),3,9,3,1,0,11,3,1,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
1380,1965,Male,Wholesale Trade,Other Goods Wholesaling,Clerical and administrative ,Clerical and Office Support ,More than 200,NA,Single person,More than 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,20%,Rarely or never ,NA,NA,NA,NA,NA,NA,30%,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,2,8,6,2,0.5,8,7,2,Feeling left out and/or isolated,Preparing for work and commuting
1381,1977,Female,"Transport, Postal and Warehousing",Road Transport,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,NA,One  parent family with dependent children,More than 5 years,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,NA,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,I知 30% more productive when working remotely,1,6.5,0.5,0,0.25,8,0.5,1,Poor management,The number of hours  I work
1382,1977,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,NA,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Less than 10% of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Less than 10% of my time,NA,Neither agree nor disagree,Somewhat disagree,Somewhat agree,My productivity is about same when I work remotely,1.5,8,0.5,0,0.5,8.5,1,0,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
1383,1982,Male,"Transport, Postal and Warehousing",Warehousing and Storage Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,NA,Couple with no dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,60%,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 40% more productive when working remotely,1,2,2,1,1,2,2,1,Caring responsibilities,My working relationships
1384,1972,Female,Construction,Building Construction,Clerical and administrative ,Personal Assistants and Secretaries,Between 5 and 19,NA,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,I would not have preferred to work remotely ,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,NA,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I知 10% less productive when working remotely,1,7.5,4,4,0,7,5,4,Feeling left out and/or isolated,My working relationships
1385,1957,Female,Accommodation and Food Services,Food and Beverage Services,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,NA,Couple with no dependent children,More than 5 years,Regional,30%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,80%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,80%,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 50% more productive when working remotely (or more),1.5,7,5,2,0,7,5,4,Difficulty collaborating remotely,My work-life balance
1386,1994,Male,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,NA,Single person,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,50% - About half of my time,NA,Somewhat disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,5,5,5,5,5,5,5,5,Caring responsibilities,Managing my family responsibilities
1387,1957,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",I am the only employee,NA,Couple with dependent children,Between 1 and 5 years,Metro,60%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,NA,Strongly agree,Strongly agree,Strongly disagree,My productivity is about same when I work remotely,2,9,3,1,1,9,3,1,Feeling left out and/or isolated,My work-life balance
1388,1956,Female,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,Between 5 and 19,NA,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Less than 10% of my time,NA,Neither agree nor disagree,Somewhat agree,Somewhat disagree,My productivity is about same when I work remotely,1,4,3,8,1,3,3,8,Feeling left out and/or isolated,Preparing for work and commuting
1389,1961,Female,Mining,Exploration and Other Mining Support Services,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,NA,Single person,Between 6 and 12 months,Regional,30%,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,20%,20%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,20%,NA,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I知 20% more productive when working remotely,0.25,7,5,2,0.25,8,6,4,"IT equipment (computer, printer, etc.)",My work-life balance
1390,1982,Male,Retail Trade,Motor Vehicle and Motor Vehicle Parts Retailing,Clerical and administrative ,Office Managers and Program Administrators,More than 200,NA,Couple with dependent children,More than 5 years,Metro,40%,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,40%,40%,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,50% - About half of my time,NA,Strongly agree,Strongly agree,Somewhat agree,I知 10% less productive when working remotely,0.5,9,6,8.5,0.5,10,7,6.5,Connectivity (internet connection),My work-life balance
1391,1984,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,NA,Couple with dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,30%,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40%,NA,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1,7,3,3,0,7,6,7,Feeling left out and/or isolated,Preparing for work and commuting
1392,1973,Male,Other Services,Personal and Other Services,Professionals,"Legal, Social and Welfare Professionals",Between 20 and 199,NA,Couple with dependent children,More than 5 years,Metro,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,10%,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40%,NA,Strongly agree,Strongly agree,Strongly agree,I知 30% more productive when working remotely,1.5,8,4.5,10,1.5,8,3,4,Poor management,My work-life balance
1393,1971,Male,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,NA,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Less than 10% of my time,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,2.5,8,4,1,0,9,6,1,Difficulty collaborating remotely,Preparing for work and commuting
1394,1979,Male,Information Media and Telecommunications,Telecommunications Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,NA,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,NA,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),2,6,4,2,1,8,3,3,Difficulty collaborating remotely,My work-life balance
1395,1978,Female,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,NA,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,40%,NA,Strongly agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,2,8,2.5,3,0,9,3,3,Feeling left out and/or isolated,Preparing for work and commuting
1396,1961,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Clerical and administrative ,Personal Assistants and Secretaries,More than 200,NA,Couple with no dependent children,Between 1 and 5 years,Regional,90%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,90%,NA,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),2,10,2,1,0.5,12,1,1,Difficulty collaborating remotely,Managing my family responsibilities
1397,1995,Female,Public Administration and Safety,Public Administration,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,NA,Multiple family household,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,NA,Strongly agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,2,8,5,0,0.5,8,6,1,Difficulty collaborating remotely,Preparing for work and commuting
1398,1958,Female,Education and Training,"Adult, Community and Other Education",Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,NA,Couple with no dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,NA,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1,7,5,1,0,7,4,2,Feeling left out and/or isolated,My work-life balance
1399,1977,Male,Other Services,Repair and Maintenance,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,NA,Single person,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,20%,10%,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,10%,NA,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,1,7.5,2,2,0,8,4,4,Connectivity (internet connection),My work-life balance
1400,1987,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,ICT Professionals,More than 200,NA,Couple with dependent children,More than 5 years,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,90%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,NA,Strongly agree,Somewhat disagree,Neither agree nor disagree,I知 50% more productive when working remotely (or more),3,7,2.5,2.5,0,10,3,4,Difficulty collaborating remotely,My work-life balance
1401,1972,Male,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,Between 1 and 4,NA,Single person,More than 5 years,Regional,30%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,50% - About half of my time,10%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,NA,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,2,5,5,5,6,7,2,2,"IT equipment (computer, printer, etc.)",My working relationships
1402,1956,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,NA,Other one family household,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,60%,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,I would not have preferred to work remotely ,NA,Neither agree nor disagree,Somewhat agree,Strongly disagree,I知 20% less productive when working remotely,2,6,2,2,4,4,2,2,Feeling left out and/or isolated,My on-the-job learning opportunities
1403,1969,Male,Manufacturing,Non-Metallic Mineral Product Manufacturing,Professionals,ICT Professionals,More than 200,NA,Couple with dependent children,More than 5 years,Metro,10%,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,10%,90%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,80%,NA,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1.5,9.5,5,1,0.1,9.8,6.5,1,Poor management,Preparing for work and commuting
1404,1964,Male,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Health and Welfare Support ,Between 1 and 4,NA,Single person,More than 5 years,Regional,10%,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,Rarely or never ,NA,NA,NA,NA,NA,NA,100% - All of my time,NA,Strongly disagree,Strongly disagree,Strongly disagree,I知 10% more productive when working remotely,0.5,7,10,0,0,7,12,2,"IT equipment (computer, printer, etc.)",My work-life balance
1405,1957,Male,"Agriculture, Forestry and Fishing",Forestry and Logging,Machinery operators and drivers,Mobile Plant Operators,Between 1 and 4,NA,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Less than 10% of my time,20%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,20%,NA,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,I知 10% more productive when working remotely,0.5,8,4,2,0.5,7,3,3,Difficulty collaborating remotely,The number of hours  I work
1406,1990,Male,Construction,Building Construction,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,NA,Single person,Between 6 and 12 months,Metro,30%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,40%,40%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,20%,NA,Strongly agree,Strongly agree,Strongly agree,I知 30% more productive when working remotely,3,33,4,4,3,33,4,4,Feeling left out and/or isolated,My working relationships
